id,category,title_zh,title_en,opening_periods,websites,venue_zh,venue_en,address_zh,address_en,district
2d156c5d-5b47-11f1-a41b-1ab7d6ca2563,cinema,夏日親子電影節 2026,Summer Family Cine Fest 2026,2026-07-10~2026-07-11 / 2026-07-17~2026-07-18 / 2026-07-23~2026-07-25 / 2026-07-30~2026-08-01 / 2026-08-03 / 2026-08-06~2026-08-08 / 2026-08-10 / 2026-08-14~2026-08-15,['https://www.lcsd.gov.hk/fp/tc/listing.html?id=93'],,,,,
3ae1d83d-3009-11f1-bb7f-dafe16e01704,cinema,中聯電影的藝術與寫實主義之旅,Realising Art in Social Realism: The Miracle of Union Film,2026-08-21~2026-08-29,['https://www.filmarchive.gov.hk/tc/web/hkfa/2026/ccf-art-in-social-realism/pe-event-2026-ccf-art-in-social-realism.html'],香港電影資料館,Hong Kong Film Archive,香港西灣河鯉景道50號,"50 Lei King Road, West Kowloon, Hong Kong",hk_east
d31d074a-5b40-11f1-a41b-1ab7d6ca2563,exhibition,,AS THE GROUND HOLDS,2026-05-20~2026-08-07,['https://www.villepinart.com/as-the-ground-holds'],VILLEPIN,VILLEPIN,香港中環荷李活道53號,"53 Hollywood Road, Central, Hong Kong",hk_central_west
683f7d37-5b3f-11f1-a41b-1ab7d6ca2563,exhibition,,PolyU Design Show 2026,2026-06-04~2026-08-06,['https://www.polyu.edu.hk/sd/news-and-events/events/2026/6/5-polyu-design-show-2026?sc_lang=en'],香港理工大學設計學院,The Hong Kong Polytechnic University,香港紅磡育才道,Hong Kong,kl_central
627d5f5b-5b3f-11f1-a41b-1ab7d6ca2563,exhibition,百層百視： 岩井俊雄的創意旅程,100-Story 100 Stories: Toshio Iwai's Art Journey​,2026-06-13~2026-09-26,['https://umag.hku.hk/tc/exhibition/100-story-100-stories-toshio-iwais-art-journey/'],香港大學美術博物館,"University Museum and Art Gallery, HKU",香港薄扶林般咸道90號,"90 Bonham Road, Pokfulam, Hong Kong",hk_central_west
62301438-5b3f-11f1-a41b-1ab7d6ca2563,exhibition,小王子與飛行員,The Little Prince and the Pilot,2026-06-25~2026-10-17,['https://umag.hku.hk/tc/exhibition/the-little-prince-and-the-pilot/'],香港大學美術博物館,"University Museum and Art Gallery, HKU",香港薄扶林般咸道90號,"90 Bonham Road, Pokfulam, Hong Kong",hk_central_west
501b6de5-53ed-11f1-9688-1ab7d6ca2563,exhibition,怡人之地 —— 賴恩．維拉馬爾,Pleasant Place with Ryan Villamael,2026-07-03~2026-08-01,['https://www.taikwun.hk/zh/programme/detail/open-the-box-2026-pleasant-place-with-ryan-villamael/1777'],Tai Kwun 大館藝方,"JC Contemporary, Tai Kwun",香港中環荷李活道10號,"10 Hollywood Road, Central, Hong Kong",hk_central_west
9f92ba08-53ec-11f1-9688-1ab7d6ca2563,exhibition,,"Shigeo Otake, Hong Kong (2026)",2026-07-09~2026-08-28,['https://www.whitecube.com/gallery-exhibitions/shigeo-otake-hong-kong-2026'],White Cube 白立方畫廊,White Cube,香港中環干諾道中50號,"50 Connaught Road Central, Central, Hong Kong",hk_central_west
2cc0adbe-53ec-11f1-9688-1ab7d6ca2563,exhibition,,Ha Bik Chuen: 1960s–70s,2026-05-22~2026-08-07,['https://www.rossirossi.com/exhibition/ha-bik-chuen-1960s-70s'],Rossi & Rossi,Rossi & Rossi,香港黃竹坑道54號 M Place 11樓,,hk_south
4b9b98e0-53eb-11f1-9688-1ab7d6ca2563,exhibition,,City of Lights | Keith Macgregor,2026-06-18~2026-10-04,['https://bluelotus-gallery.com/new-events/city-of-lights-keith-macgregor'],Blue Lotus Gallery,Blue Lotus Gallery,香港島太平山磅巷28號,"28 Pound Lane, Tai Ping Shan, Hong Kong Island, Hong Kong",hk_central_west
